Invested,Current,Overall P&L,Day P&L,,,,,,
"3,01,904.05","4,44,965.61","+1,43,061.56 (+47.39%)","-2,215.41 (-0.50%)",,,,,,
,,,,,,,,,
Symbol (13),Category,Net Qty,Avg. Price,LTP,Current Value,Day P&L,Day %,Overall P&L,Overall %
HDFCBANK,NSE EQ,117,718.21,934.20,"1,09,301.40",-152.10,-0.14%,"25,270.83",30.07%
BRITANNIA,NSE EQ,4,"5,885.24","5,864.50","23,458.00",566.00,2.47%,-82.96,-0.35%
MOTHERSON,NSE EQ,346,40.41,111.93,"38,727.78",-674.70,-1.71%,"24,745.92",176.99%
HCLTECH,NSE EQ,56,760.99,"1,697.80","95,076.80","-1,332.80",-1.38%,"52,461.36",123.10%
AVANTIFEED,NSE EQ,35,434.07,794.05,"27,791.75",621.25,2.29%,"12,599.30",82.93%
KOTAKBANK,NSE EQ,30,405.77,406.00,"12,180.00",-192.00,-1.55%,6.90,0.06%
GOLDIETF,NSE EQ,113,102.18,142.15,"16,062.95","-1,263.34",-7.29%,"4,516.61",39.12%
LTTS,NSE EQ,10,"1,647.90","3,721.00","37,210.00",-349.00,-0.93%,"20,731.00",125.80%
MSUMI,NSE EQ,217,4.37,42.34,"9,187.78",41.23,0.45%,"8,239.49",868.88%
ZYDUSLIFE,NSE EQ,34,963.49,886.65,"30,146.10",-137.70,-0.45%,"-2,612.56",-7.98%
NH,NSE EQ,4,"1,870.80","1,768.90","7,075.60",106.80,1.53%,-407.60,-5.45%
MARKSANS,NSE EQ,115,178.53,164.99,"18,973.85",451.95,2.44%,"-1,557.10",-7.58%
ADVENZYMES,NSE EQ,66,312.49,299.60,"19,773.60",99.00,0.50%,-850.74,-4.12%
